;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;-0.0168110659151541;-0.0655494193418248;-0.0863774453193795;-0.10182980679664;-0.131596093956653;-0.155274666379241
Gas_fuels;0;0;0;0;-0.00534874417561819;-0.0227531788728336;-0.0648570777064652;-0.0915984753399916;-0.147165712428134;-0.196736266051308
Solid_fuels;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;-0.0216818016627457;-0.0456818063709138;-0.0669821661703341;-0.0651304712388799;-0.0917982759989381;-0.162367854441061
Steel_Iron;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0
OthMinerals;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0
Auto_industry;0;0;0;0;-0.033006349391072;-0.0746438682793952;-0.185683739907158;-0.250306805072123;-0.296131765760824;-0.347227981094431
OthEquip;0;0;0;0;-0.0343616431271086;-0.0996872135975257;-0.142076233356524;-0.197160118184346;-0.234005703260316;-0.321129861689769
Electronics;0;0;0;0;-0.0343616613908958;-0.0996872262140992;-0.142076225873125;-0.197160144325339;-0.23400569143651;-0.321129851557552
Food_industry;0;0;0;0;-0.0347427017294568;-0.0586005431665074;-0.0839758688047802;-0.112056262062336;-0.120753053337563;-0.164558519338116
OthManuf;0;0;0;0;-0.034361656356093;-0.0996872463637047;-0.14207624344128;-0.197160146238154;-0.234005715556387;-0.321129859568584
LandTransp;0;0;0;0;0;-0.0221102279177588;-0.146820685115;-0.183779327173498;-0.215497099594327;-0.329520538982431
NavalTransp;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;-0.199902417345022;-0.287254308747917;-0.355724598471713;-0.442648481973031
AgriForest_Fish;0;0;0;0;-0.0329933068720957;-0.0742794447590438;-0.078244942078728;-0.126253061065504;-0.152157675238514;-0.215364457954476
Construction;0;0;0;0;-0.209267243940441;-0.271744789401832;-0.243347380455027;-0.266712119404328;-0.334502533376136;-0.318942698586334
Property_business;0;0;0;0;0;0;0;0;0;0
Compo;0;0;0;0;0;0;0;0;0;0
